102,ARANDELA AUTOMOTOR FIXO   ,Nacional,1,ARA,.5
106,SINPAR                    ,Nacional,2,SNP,.5
996,OUTLET                    ,INDEFINIDO,6,000,.30
000,INDEFINIDA,INDEFINIDO,99,000,.00
